seqnames	start	end	width	strand	length	identity	score	info	biallelic	omim_ddd	pRec	allgenescoding	allgenes	numallgenes	numcodinggenes	name	freq	freqCMA
chr15	21311962	23261294	1949333	*	170116	0.9801312045898093	888	170kb_98%		NIPA1		CYFIP1,OR4M2,OR4N4,NIPA1,NIPA2,TUBGCP5,GOLGA8DP,POTEB,GOLGA6L1,GOLGA6L22,POTEB3,LINC02203,OR4M2B,OR4N4C	CYFIP1,ABCB10P1,OR11H3P,OR11K1P,OR4M2,OR4N3P,OR4N4,OR4Q1P,NIPA1,NIPA2,TUBGCP5,GOLGA8IP,WHAMMP3,GOLGA8DP,GOLGA8EP,POTEB,CXADRP2,MIR1268A,RPS8P10,GOLGA6L1,ELMO2P1,MIR3118-3,MIR3118-4,OR11J6P,OR11J7P,NF1P2,MIR4509-1,MIR5701-2,SPATA31E3P,RN7SL106P,RN7SL495P,RN7SL545P,RNU6-631P,HERC2P2,HERC2P7,GRAMD4P6,PDCD6IPP1,GOLGA6L22,ZNF519P3,MIR5701-3,POTEB3,NF1P9,LINC02203,LONRF2P4,OR4M2B,OR4N4C,OR4H6BP,OR1Q1BP,OR4N3BP,OR11K1BP,IGHV1OR15-1,IGHV1OR15-3,IGHV1OR15-4,IGHV4OR15-8,OR4H6P	55	14	15q11.2	2764	2287
chr15	82432462	84337056	1904595	*	284251	0.968323770189023	886	284kb_96.8%	AP3B2	RPS17,BNC1,HOMER2,AP3B2	BTBD1,ADAMTSL3	RPS17,BNC1,SH3GL3,BTBD1,TM6SF1,ADAMTSL3,HOMER2,FSD2,CPEB1,HDGFL3,GOLGA6L4,C15orf40,WHAMM,RAMAC,GOLGA6L9,AP3B2	RPS17,BNC1,SH3GL3,BTBD1,TM6SF1,ADAMTSL3,HOMER2,FSD2,CPEB1,HDGFL3,GOLGA2P10,GOLGA6L4,CPEB1-AS1,C15orf40,WHAMM,RAMAC,FABP5P8,EFL1P1,SCARNA15,DNM1P38,DNM1P41,GOLGA6L9,MIR4515,TUBAP4,UBE2Q2L,RN7SL331P,RNU6-401P,RNU6-1339P,CSPG4P10,CSPG4P11,UBE2Q2P6,GOLGA6L17P,GOLGA2P7,UBE2Q2P8,SNHG21,ACTG1P17,AP3B2	37	16	15q25_BPB-BPC	0	14.95
chr16	32947014	34735019	1788006	*	582828	0.9458896964456066	863	583kb_94.6%				TP53TG3B,TP53TG3C,TP53TG3E,TP53TG3F,IGHV3OR16-17	TP53TG3B,ABHD17AP9,LINC00273,HERC2P8,PCMTD1P2,RNA5-8SP2,TP53TG3C,ARHGAP23P1,ENPP7P13,BMS1P8,BCAP31P1,DUX4L45,DUX4L46,DUX4L47,BCLAF1P2,TP53TG3E,TP53TG3F,IGHV3OR16-17,IGHV1OR16-2,IGHV1OR16-4,IGHV3OR16-10,IGHV3OR16-11,IGHV3OR16-12,IGHV3OR16-13,IGHV3OR16-16,IGHV3OR16-7,IGHV3OR16-8	27	5	NA	NA	NA
chr10	45765081	49954967	4189887	*	249518	0.986682323519746	861	250kb_98.7%	SLC18A3,CHAT,ERCC6,RBP3	SLC18A3,CHAT,ERCC6,GDF2,RBP3	OGDHL,C10orf71,ERCC6	SLC18A3,SYT15,TIMM23,CHAT,FAM170B,DRGX,LRRC18,ANXA8L1,WASHC2C,PTPN20,AGAP4,AGAP9,ZNF488,TIMM23B,FAM25C,FAM25G,GPRIN2,OGDHL,VSTM4,C10orf71,TMEM273,ANTXRL,C10orf53,FRMPD2,WDFY4,ARHGAP22,ERCC6,GDF10,GDF2,TIMM23B-AGAP6,NPY4R2,ANXA8,MAPK8,MSMB,NCOA4,PARG,NPY4R,RBP3	RHEBP1,SLC18A3,FRMPD2B,SYT15,TIMM23,MAPK6P6,CHAT,FAM170B,DRGX,LRRC18,ANXA8L1,WASHC2C,PTPN20,PTPN20CP,AGAP4,AGAP9,AGAP7P,AGAP13P,ZNF488,TIMM23B,FAM25BP,FAM25C,FAM25E,FAM25G,BMS1P1,BMS1P2,BMS1P7,AGAP14P,AGAP12P,GPRIN2,CTSLP2,CTSLP3,OGDHL,VSTM4,C10orf71,TMEM273,ANTXRL,C10orf53,FRMPD2,WDFY4,ARHGAP22,DUSP8P1,SHLD2P1,SHLD2P3,ERCC6,RPL35AP24,RPL13AP19,RPL23AP61,RPL35AP23,RPL21P89,RPS6P14,MIR4294,GDF10,GDF2,ARHGAP22-IT1,RNA5SP310,RNA5SP311,RNA5SP312,RNA5SP315,GLUD1P2,LINC00842,HNRNPA1P33,RHEBP2,ANTXRLP1,FAM170B-AS1,C10orf71-AS1,PARGP1,TIMM23B-AGAP6,RN7SL248P,RN7SL453P,SNORA74C-1,SNORA74C-2,HMGB1P50,NPY4R2,LINC02637,FAM245B,LINC02675,ANXA8,MAPK8,MSMB,NCOA4,PARG,NPY4R,RBP3	84	38	10q11.21q11.23	141.2	74.73
chr16	21754781	22502804	748024	*	72802	0.9950550809043708	857	73kb_99.5%	UQCRC2,OTOA	UQCRC2,OTOA	OTOA	UQCRC2,OTOA,CDR2,EEF2K,MOSMO,VWA3A,PDZD9,POLR3E,SDR42E2,NPIPB5,NPIPB4	UQCRC2,OTOA,CDR2,EEF2K,MOSMO,VWA3A,PDZD9,POLR3E,RRN3P1,SDR42E2,NPIPB5,RRN3P3,NPIPB4,SMG1P1,SMG1P4,MFSD13B	16	11	16p12.1	592.3	627.8
chr1	144886719	148619717	3732999	*	1462910	0.9692004292813639	856	1463kb_96.9%	POLR3GL,HJV,PEX11B,RBM8A	CHD1L,POLR3GL,GJA5,GJA8,HJV,PEX11B,RBM8A	ITGA10	BCL9,GPR89B,PIAS3,TXNIP,CD160,RNF115,CHD1L,NBPF12,NBPF14,ANKRD35,NUDT17,ANKRD34A,POLR3GL,LIX1L,ACP6,POLR3C,NOTCH2NLA,GPR89A,NBPF10,NBPF11,NBPF20,FAM72D,PPIAL4G,PPIAL4D,SRGAP2B,FMO5,GJA5,GJA8,HJV,PPIAL4H,NOTCH2NLB,ITGA10,PDZK1,PEX11B,PRKAB2,RBM8A	BCL9,RNVU1-1,GPR89B,GNRHR2,PIAS3,TXNIP,CD160,NUDT4P2,RNF115,CHD1L,NBPF12,NBPF14,ANKRD35,NUDT17,LINC02806,ANKRD34A,ABHD17AP1,POLR3GL,LIX1L,ACP6,POLR3C,OR13Z1P,OR13Z2P,OR13Z3P,NOTCH2NLA,PDZK1P1,GPR89A,NBPF10,NBPF11,NBPF13P,NBPF20,HYDIN2,FAM72D,PPIAL4G,PPIAL4D,CCT8P1,SRGAP2B,RPL7AP15,RNVU1-7,FMO5,LIX1L-AS1,GJA5,GJA8,RNA5SP57,PFN1P8,PFN1P3,PFN1P4,MIR5087,LINC00624,NBPF25P,PDIA3P1,RN7SL261P,RNU6-1071P,RNVU1-2,RNVU1-3,RNVU1-6,RNVU1-8,RNVU1-14,RNVU1-22,RNVU1-21,RNU1-129P,HJV,LINC01138,LINC01145,MIR6077,MIR6736,PDE4DIPP1,LINC01719,LINC01731,RNU1-151P,RNA5SP536,PPIAL4H,SEC22B4P,NOTCH2NLB,LINC02804,LINC02805,RNVU1-25,RNVU1-27,RNVU1-29,RNU1-153P,RNU1-154P,RNU1-155P,RNVU1-31,SSBL4P,PDE4DIPP5,PDE4DIPP6,ITGA10,PDZK1,PEX11B,PRKAB2,RBM8A	91	36	1q21_BP2-BP4	0	134.5
chr16	32917052	36152756	3235705	*	199878	0.9508450154594302	841	200kb_95.1%				TP53TG3B,TP53TG3C,TP53TG3E,TP53TG3F,IGHV3OR16-17	PPP1R1AP2,FRG2DP,LINC01566,UBE2MP1,CCNYL3,TP53TG3B,VN1R68P,VN1R69P,VN1R70P,FGFR3P5,AGGF1P4,ABHD17AP9,LINC00273,HERC2P8,PCMTD1P2,HMGN2P41,RNA5-8SP2,TP53TG3C,RNA5SP406,RNA5SP407,RNA5SP408,RNA5SP409,RNA5SP410,RNA5SP411,RNA5SP412,RNA5SP413,RNA5SP414,RNA5SP415,RNA5SP416,RNA5SP417,RNA5SP418,RNA5SP419,RNA5SP420,RNA5SP421,RNA5SP422,RNA5SP423,SLC25A1P4,ARHGAP23P1,ENPP7P13,RARRES2P5,RARRES2P6,RARRES2P8,RARRES2P9,RARRES2P7,BMS1P8,NAMPTP3,BCAP31P1,FRG2GP,AGGF1P7,AGGF1P5,RARRES2P10,AGGF1P6,AGGF1P8,AGGF1P9,DUX4L45,DUX4L46,DUX4L47,FRG2HP,FRG2IP,FRG2JP,C2orf69P1,C2orf69P2,C2orf69P3,C2orf69P4,VPS35P1,CLUHP11,BCLAF1P2,KIF18BP1,C1QL1P1,TP53TG3E,TP53TG3F,TP53TG3GP,TP53TG3HP,ZNF971P,LINC02167,LINC02184,IGHV3OR16-17,IGHV1OR16-2,IGHV1OR16-4,IGHV3OR16-10,IGHV3OR16-11,IGHV3OR16-12,IGHV3OR16-13,IGHV3OR16-16,IGHV3OR16-7,IGHV3OR16-8	86	5	NA	NA	NA
chr2	109930242	110228182	297941	*	45297	0.997637812658675	840	45kb_99.8%	NPHP1	NPHP1		MTLN,MALL,NPHP1	MTLN,MIR4267,MIR4436B1,GPAA1P1,ZBTB45P1,LINC01123,ACTR1AP1,MALL,NPHP1	9	3	2q13_NPHP1	5873	2616
chr22	15205098	16079322	874225	*	144959	0.9514897315792742	840	145kb_95.1%				POTEH,OR11H1	YME1L1P1,ZNF72P,POTEH,OR11H1,ARHGAP42P3,DUXAP8,NEK2P2,GRAMD4P2,BNIP3P2,NBEAP3,POTEH-AS1,RNU6-816P,MED15P7,BMS1P22,PSLNR,TOMM40P2,NF1P6	17	2	NA	NA	NA
chr2	110494056	112385043	1890988	*	88645	0.9943369620395961	837	89kb_99.4%	ANAPC1,MERTK	BUB1,ANAPC1,MERTK	BUB1,MERTK	BUB1,ANAPC1,ZC3H6,ACOXL,TMEM87B,FBLN7,ZC3H8,RGPD6,MERTK,RGPD8,BCL2L11	BUB1,ANAPC1,ZC3H6,ACOXL,TMEM87B,FBLN7,ZC3H8,RGPD6,MIR4435-2HG,RPL22P12,RPS14P4,RPL5P9,RPL34P8,ACOXL-AS1,MIR4771-2,MIR4435-2,DBF4P2,NDUFB4P6,RN7SL297P,EEF1E1P1,SOCAR,CENPNP2,SLC30A6P1,RTRAFP1,MERTK,PAFAH1B1P2,RGPD8,BCL2L11	28	11	2q13	128.6	149.5
chr17	46383072	47024748	641677	*	93302	0.9717905296778204	834	93kb_97.2%	WNT3,GOSR2	WNT3,GOSR2		WNT9B,WNT3,ARL17A,LRRC37A2,RPRML,GOSR2,NSF	WNT9B,WNT3,ARL17A,NSFP1,LRRC37A2,RPRML,RNU6ATAC3P,RPS7P11,MIR5089,FAM215B,GOSR2,RN7SL199P,LRRC37A17P,LINC01974,RDM1P2,NSF	16	7	NA	NA	NA
chr10	46118331	46779563	661233	*	65942	0.9850777956385914	832	66kb_98.5%				SYT15,ANXA8L1,GPRIN2,ANTXRL,NPY4R	RHEBP1,SYT15,ANXA8L1,AGAP7P,FAM25BP,AGAP14P,GPRIN2,CTSLP3,ANTXRL,SHLD2P1,GLUD1P2,LINC00842,HNRNPA1P33,ANTXRLP1,RN7SL248P,LINC02637,FAM245B,NPY4R	18	5	NA	NA	NA
chr16	69967031	70186815	219785	*	38767	0.9869218665359714	813	39kb_98.7%			PDPR	CLEC18C,PDPR	PDXDC2P,CLEC18C,PDPR,MIR1972-2,NPIPB14P	5	2	NA	NA	NA
chr13	57139162	57158405	19244	*	14573	0.9984217388320867	812	15kb_99.8%				PRR20A,PRR20B,PRR20C	PRR20A,PRR20B,PRR20C	3	3	NA	NA	NA
chr16	29416551	30202090	785540	*	217531	0.9930676547250736	810	218kb_99.3%	TBX6,CORO1A,PRRT2,ALDOA	TBX6,CORO1A,PRRT2,ALDOA,KIF22	MVP	SPN,SULT1A3,TBX6,TAOK2,CDIPT,YPEL3,SLX1A,KCTD13,CORO1A,TMEM219,TLCD3B,C16orf92,C16orf54,INO80E,ASPHD1,GDPD3,PAGR1,SLX1B,BOLA2,DOC2A,SULT1A4,PRRT2,SEZ6L2,ZG16,BOLA2B,NPIPB12,ALDOA,HIRIP3,BOLA2-SMG1P6,KIF22,MAPK3,MAZ,MVP,PPP4C,QPRT	SPN,SULT1A3,TBX6,CA5AP1,TAOK2,CDIPT,YPEL3,SLX1A,KCTD13,CORO1A,TMEM219,TLCD3B,C16orf92,C16orf54,INO80E,ASPHD1,GDPD3,PAGR1,SLX1B,SLC7A5P1,BOLA2,DOC2A,SULT1A4,PRRT2,SEZ6L2,ZG16,BOLA2B,NPIPB12,ALDOA,MIR3680-2,SLX1A-SULT1A3,RN7SKP127,SLX1B-SULT1A4,CDIPTOSP,HIRIP3,SMG1P2,SMG1P6,BOLA2-SMG1P6,KIF22,MAPK3,MAZ,MVP,PPP4C,QPRT	44	35	16p11.2prox	259.6	1674
chr17	43229502	43286756	57255	*	23877	0.993173346735352	810	24kb_99.3%				CCDC200	RNU2-1,CCDC200	2	1	NA	NA	NA
chrY	17933885	24815222	6881338	*	301192	0.9596934845547026	809	301kb_96%				KDM5D,BPY2,PRY,DAZ2,DAZ3,CDY2A,RPS4Y2,HSFY1,PRY2,RBMY1B,RBMY1D,RBMY1E,RBMY1J,CDY1B,HSFY2,RBMY1F,BPY2B,DAZ1,EIF1AY,PRYP3,RBMY1A1	TRAPPC2P7,KDM5D,BPY2,OFD1P6Y,PRY,DAZ2,DAZ3,GOLGA2P2Y,TTTY4,TTTY5,TTTY6,CD24P4,CDY2A,OFD1P16Y,TXLNGY,TTTY10,TTTY13,TTTY14,RPS4Y2,HSFY1,TTTY17A,PRY2,RBMY2CP,CDY10P,CDY9P,CDY11P,CDY7P,CDY8P,CDY12P,CDY13P,CDY14P,CDY15P,CDY17P,CDY18P,OFD1P2Y,OFD1P4Y,OFD1P5Y,OFD1P7Y,OFD1P8Y,OFD1P9Y,OFD1P10Y,OFD1P11Y,OFD1P12Y,RBMY2EP,RBMY2FP,RBMY2TP,RBMY2UP,RBMY2WP,RBMY2XP,TSPY14P,XKRYP1,XKRYP2,XKRYP3,XKRYP4,RBMY1B,RBMY1D,RBMY1E,RBMY1J,CDY1B,XKRY2,CICP2,GAPDHP19,HSFY2,BCORP1,TMEM167AP1,GOLGA6L11P,PPP1R12BP2,RBMY1F,KDM5DP1,TBL1YP1,TUBB1P1,BPY2B,DAZ1,USP9YP1,USP9YP2,TAF9P2,TTTY6B,TTTY3B,TTTY17B,TTTY4B,CSPG4P2Y,TTTY9B,EIF1AY,PRYP2,PRYP3,DNM1P24,FAM41AY2,ACTG1P11,NEFLP1,HSFY4P,ZNF736P2Y,ZNF736P3Y,TRAPPC2P8,TRAPPC2P10,TRAPPC2P9,FAM224A,USP9YP3,GAPDHP17,TSPY21P,RAB9AP1,RAB9AP4,RAB9AP5,CSPG4P3Y,ELOCP5,ELOCP7,ELOCP8,ELOCP9,ELOCP10,ELOCP12,ELOCP13,ELOCP14,ELOCP15,ELOCP16,USP9YP5,RCC2P2,ZNF886P,USP9YP8,ZNF736P11Y,UBE2Q2P4Y,TRIM60P5Y,ZNF736P12Y,CLUHP2,USP9YP10,ZNF839P1,ZNF885P,TRIM60P8Y,TRIM60P9Y,USP9YP11,TRIM60P10Y,TRIM60P11Y,TSPY22P,LINC00265-2P,TTTY25P,LINC00266-2P,TSPY23P,USP9YP12,USP9YP13,ELOCP26,PRORY,TOMM22P1,USP9YP14,RBMY1KP,USP9YP15,USP9YP16,USP9YP17,USP9YP18,USP9YP24,USP9YP25,USP9YP28,USP9YP29,USP9YP31,USP9YP32,USP9YP34,USP9YP35,GPM6BP2,GPM6BP1,PRYP5,PRYP6,HSFY5P,HSFY6P,HSFY7P,REREP1Y,MTCYBP2,RNA5SP522,RNA5SP523,RN7SL818P,RNU6-255P,RNU1-41P,RNU1-48P,RNU1-86P,RNU1-95P,RNU1-97P,RBMY1A1,RBMY1HP,RBMY2AP,RBMY2BP	176	21	NA	NA	NA
chr10	45812475	47738568	1926094	*	100612	0.9695563153500576	808	101kb_97%	RBP3	GDF2,RBP3		SYT15,TIMM23,ANXA8L1,PTPN20,AGAP4,AGAP9,ZNF488,FAM25G,GPRIN2,ANTXRL,GDF10,GDF2,ANXA8,MSMB,NCOA4,NPY4R,RBP3	RHEBP1,FRMPD2B,SYT15,TIMM23,ANXA8L1,PTPN20,AGAP4,AGAP9,AGAP7P,AGAP13P,ZNF488,FAM25BP,FAM25E,FAM25G,BMS1P1,BMS1P2,AGAP14P,GPRIN2,CTSLP2,CTSLP3,ANTXRL,DUSP8P1,SHLD2P1,SHLD2P3,RPL23AP61,RPL35AP23,GDF10,GDF2,RNA5SP310,RNA5SP311,RNA5SP312,GLUD1P2,LINC00842,HNRNPA1P33,RHEBP2,ANTXRLP1,PARGP1,RN7SL248P,RN7SL453P,SNORA74C-1,LINC02637,FAM245B,LINC02675,ANXA8,MSMB,NCOA4,NPY4R,RBP3	48	17	NA	NA	NA
chr16	14772948	16330433	1557486	*	309707	0.9901390669245448	807	310kb_99%	NDE1,ABCC6,MYH11	NDE1,ABCC1,ABCC6,MYH11	RRN3,ABCC1	NDE1,BMERB1,NOMO3,CEP20,MPV17L,PDXDC1,MARF1,NTAN1,NOMO1,RRN3,NPIPA5,ABCC1,ABCC6,MYH11,NPIPA1	NDE1,BMERB1,NOMO3,CEP20,MPV17L,PDXDC1,MARF1,NTAN1,NOMO1,PKD1P1,PKD1P3,PKD1P6,RRN3,MIR484,ABCC6P2,NPIPP1,RPL15P20,RPL17P40,MIR1972-1,MIR3179-2,MIR3180-2,MIR3179-1,MIR3180-1,MIR3180-4,MIR3670-1,NPIPA5,MIR3670-2,RNU6-213P,MIR6770-2,MIR6511A1,MIR6511A2,MIR6506,MIR6770-1,MIR6511B2,ABCC1,ABCC6,MYH11,NPIPA1	38	15	16p13.11	312.6	433.5
chr2	130050916	130447373	396458	*	63411	0.9714402863856428	806	63kb_97.1%	CCDC115,SMPD4	CCDC115,SMPD4		TUBA3E,CCDC74B,MZT2B,CCDC115,IMP4,SMPD4,POTEF,PTPN18	TUBA3E,CCDC74B,MZT2B,CCDC115,IMP4,SMPD4,POTEF,RPL19P4,RHOQP3,MTND6P8,CYP4F62P,POTEF-AS1,MTND1P29,MTND2P22,MTND4P27,MTND5P29,TEKT4P3,MED15P9,MTATP6P7,RNU6-1049P,MED15P5,FAR2P2,KLF2P2,MTCYBP8,MTCO1P7,MTCO2P7,MTCO3P7,MTND3P15,NOC2LP1,PTPN18	30	8	NA	NA	NA
chr7	143717515	143807822	90308	*	10590	0.9972615675165251	806	11kb_99.7%				TCAF2,CTAGE6	TCAF2,CTAGE6,TCAF2P1,PAICSP6,RNU6-267P	5	2	NA	NA	NA
chr4	143935645	144115806	180162	*	63079	0.9711789977647077	805	63kb_97.1%				GYPA,GYPB	GYPA,GYPB	2	2	NA	NA	NA
chrX	48004314	48127199	122886	*	15726	0.9944041714358387	805	16kb_99.4%				ZNF630,SPACA5	SSX6P,ZNF630,SPACA5,ZNF630-AS1	4	2	NA	NA	NA
chr1	145491468	145809382	317915	*	14412	0.9940327504857064	802	14kb_99.4%				CD160,RNF115,GPR89A,PDZK1	CD160,RNF115,GPR89A,NBPF25P,PDE4DIPP5,PDZK1	6	4	NA	NA	NA
chr10	45677495	46108290	430796	*	24743	0.9884007598108556	802	25kb_98.8%				TIMM23,WASHC2C,AGAP4,MSMB,NCOA4	TIMM23,WASHC2C,AGAP4,FAM25E,AGAP10P,RPL23AP61,RPL35AP23,RNA5SP310,PARGP1,FAM21FP,SNORA74C-1,MSMB,NCOA4	13	5	NA	NA	NA
chr2	110395939	110698189	302251	*	1286	1	801	1kb_100%		BUB1	BUB1	BUB1,RGPD6,LIMS4	BUB1,RGPD6,RPL22P12,LIMS4	4	3	NA	NA	NA
chr8	143858045	143862848	4804	*	3754	0.9965370271710176	797	4kb_99.7%				EPPK1	EPPK1	1	1	NA	NA	NA
chr5	690058	781573	91516	*	39245	0.9785705185373933	796	39kb_97.9%				TPPP,ZDHHC11B	TPPP,ZDHHC11B,BRD9P2	3	2	NA	NA	NA
chr2	86909880	87233562	323683	*	10519	0.9922045821846183	795	11kb_99.2%				RGPD1,PLGLB1	RGPD1,MIR4771-1,ANAPC1P1,NDUFB4P5,WBP1P1,CENPNP1,ANAPC1P2,ANAPC1P3,PLGLB1	9	2	NA	NA	NA
chr10	46332689	46812001	479313	*	27961	0.9833339294016666	795	28kb_98.3%				SYT15,ANXA8L1,GPRIN2,NPY4R	RHEBP1,SYT15,ANXA8L1,FAM25BP,BMS1P1,AGAP14P,GPRIN2,CTSLP3,SHLD2P1,RNA5SP311,GLUD1P2,LINC00842,HNRNPA1P33,RN7SL248P,LINC02637,FAM245B,NPY4R	17	4	NA	NA	NA
chr17	43242659	43257197	14539	*	1687	0.995257854179016	793	2kb_99.5%				CCDC200	CCDC200	1	1	NA	NA	NA
