GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
SACS	13q12.12	2.018e-4	9.094033333333333e-4	7.862911826777777e-7	36	22	1	36, 14, 13	4.4
OTOA	16p12.1	5.84e-4	0.0027757336350031077	7.363641212487566e-6	35	21	2	80, 35, 5	4.4
LMAN2L	2q11.2	7.36e-5	3.8867290318124774e-4	1.4564966566733958e-7	32	19	1	32, 32, 26	3.4
MIPEP	13q12.12	2.018e-4	0.0010509806755769177	1.0638371404361145e-6	32	19	1	32, 15, 14	3.9
TXNRD2	22q11.2_LCRA-D	1.417e-4	7.860060068761103e-4	5.977265528453278e-7	31	18	3	49, 37, 31	3.4
ATP2A1	16p11.2dist	1.3769999999999999e-4	7.786360227045514e-4	5.873127658531628e-7	30	18	2	73, 30, 7	4.1
PI4KA	22q11.2_LCRA-D	1.417e-4	8.676788003623888e-4	7.32787610598314e-7	28	16	1	28, 16, 14	4.3
DYNLT2B	3q29	2.136e-5	1.355091483667066e-4	1.79064796910701e-8	27	16	3	60, 44, 27	1
TANGO2	22q11.2_LCRA-D	1.417e-4	0.0011049500032741164	1.2008356197354695e-6	23	13	2	80, 23, 23	2.6
ZNHIT3	17q12	6.886e-5	5.474e-4	2.949050604e-7	22	13	2	96, 22, 2	3.7
ERCC6	10q11.21q11.23	1.353e-4	0.00117274049183042	1.3570141711786553e-6	21	12	1	21, 15, 14	3.5
FAN1	15q13.3_BP4-BP5	9.97e-5	8.936674062750054e-4	7.986357971622955e-7	21	11	2	23, 21, 20	3
ALDH3A2	SMS	5.333e-5	4.7145e-4	2.1942101359999998e-7	20	11	3	41, 24, 20	2.7
NCF1	7q11.23	1.2e-4	0.0011314494665834187	1.2657778954319025e-6	19	11	3	86, 30, 19	2.7
TOP3A	SMS	5.333e-5	5.125506765629954e-4	2.5986410714518433e-7	19	10	2	22, 19, 20	3
LZTR1	22q11.2_LCRA-D	1.417e-4	0.0015665717922411335	2.434068290245597e-6	17	9	1	17, 17, 14	3.2
MERTK	2q13	1.258e-4	0.0013950188269490533	1.930251887542313e-6	17	9	2	72, 17, 7	3.2
TRPM1	15q13.3_BP4-BP5	9.97e-5	0.0011338516294169903	1.2856138816555636e-6	17	8.8	4	54, 26, 20	3.2
ABCC6	16p13.11	3.11e-4	0.004341942388303131	1.8755742703343497e-5	13	7.2	2	55, 13, 9	2.7
TNFRSF13B	SMS	5.333e-5	8.306219427978174e-4	6.870887229572208e-7	12	6.4	4	61, 25, 13	1.4
RNF168	3q29	2.136e-5	4.7255346783690616e-4	2.2285053036468596e-7	8.6	4.5	5	50, 20, 19	1.7
MYO15A	SMS	5.333e-5	0.002054548154533452	4.218324030396812e-6	5.1	2.6	11	18, 13, 12	1.4
NSMCE3	15q11q13_BP3-BP5	2.374e-6	1.287822222222222e-4	1.5136744484493826e-8	4	1.8	3	91, 46, 4	0.88
MDH2	7q11.23_dist	2.374e-6	1.1870086732883652e-4	1.4084260028618051e-8	3.9	2	9	68, 21, 11	-1.6
MAT1A	10q23	7.121e-6	4.133288888888889e-4	1.7079006174912345e-7	3.4	1.7	8	69, 33, 15	-0.79
OTUD7A	15q11q13_BP3-BP5	2.374e-6	1.3535463282056642e-4	1.831524074999036e-8	3.4	1.8	5	93, 10, 9	-0.81
BBS4	15q24_BPA-BPC	2.374e-6	1.3942709027454334e-4	1.9434277626425657e-8	3.3	1.7	13	55, 18, 18	-1.5
STRA6	15q24_BPA-BPC	2.374e-6	1.412388553505823e-4	1.9942778384742707e-8	3.3	1.7	18	18, 16, 11	-1.5
RP1L1	8p23.1	9.495e-6	8.025326980109374e-4	6.439685763517143e-7	2.3	1.2	10	58, 14, 11	0.2
CDHR1	10q23	7.121e-6	6.356628093672005e-4	4.0401649857160196e-7	2.2	1.1	9	78, 18, 12	0.068
HERC2	PWS/AS_BP2-BP3	1.989e-5	0.0019742782767000764	3.896983489649823e-6	2	1	3.5	94, 3, 2	0
HERC2	PWS/AS_BP1-BP3	1.989e-5	0.0019742782767000764	3.896983489649823e-6	2	1	3.5	94, 3, 2	0
OCA2	PWS/AS_BP2-BP3	1.989e-5	0.0028832581549396437	8.312386363825959e-6	1.4	0.69	28.5	62, 23, 9	-0.52
OCA2	PWS/AS_BP1-BP3	1.989e-5	0.0028832581549396437	8.312386363825959e-6	1.4	0.69	28.5	62, 23, 9	-0.52
MPI	15q24_BPA-BPC	2.374e-6	4.217666556454946e-4	1.7788147593838524e-7	1.1	0.56	22	90, 11, 6	-1.7
POR	7q11.23_dist	2.374e-6	4.3353e-4	1.87942625024e-7	1.1	0.55	18	80, 22, 13	-2.9
FAN1	15q11q13_BP3-BP5	2.374e-6	8.936674062750054e-4	7.986357971622955e-7	0.53	0.27	44	23, 21, 20	-2.5
TRPM1	15q11q13_BP3-BP5	2.374e-6	0.0011338516294169903	1.2856138816555636e-6	0.42	0.21	37	54, 26, 20	-2.3
