seqnames	start	end	width	strand	length	identity	score	info	biallelic	omim_ddd	pRec	allgenescoding	allgenes	numallgenes	name	freq	freqCMA
chr10	47928852	51773687	3844836	*	248862	0.9884032114183765	873	249kb_98.8%	SLC18A3,CHAT,PGBD3,ERCC6,ERCC6-PGBD3,RBP3	SLC18A3,CHAT,PGBD3,ERCC6,GDF2,ERCC6-PGBD3,RBP3	OGDHL,C10orf71,ERCC6,NCOA4,RBP3	SLC18A3,TIMM23,CHAT,PGBD3,FAM170B,DRGX,LRRC18,FAM21B,FAM21D,PTPN20B,ASAH2C,AGAP9,AGAP8,AGAP7,AGAP6,ZNF488,TIMM23B,FAM25C,FAM25G,OGDHL,VSTM4,C10orf71,C10orf128,C10orf53,FRMPD2,WDFY4,ARHGAP22,ERCC6,GDF10,GDF2,ERCC6-PGBD3,ANXA8,MAPK8,MSMB,NCOA4,PARG,RBP3	SLC18A3,FRMPD2P1,TIMM23,CHAT,PGBD3,FAM170B,DRGX,LRRC18,FAM21B,FAM21D,PTPN20B,PTPN20CP,ASAH2C,AGAP9,AGAP8,AGAP7,AGAP6,ZNF488,TIMM23B,FAM25C,FAM25D,FAM25G,GLUD1P6,BMS1P5,BMS1P6,BMS1P7,CTGLF12P,CTSLP2,CTSLP3,OGDHL,VSTM4,C10orf71,C10orf128,C10orf53,FRMPD2,WDFY4,ARHGAP22,DUSP8P1,SLC9A3P4,ERCC6,MIR4294,GDF10,GDF2,ARHGAP22-IT1,RNA5SP313,RNA5SP314,RNA5SP315,RNA5SP316,RNA5SP317,GLUD1P2,DUSP8P2,FAM35EP,FAM170B-AS1,C10orf71-AS1,PARGP1,LINC00843,RN7SL527P,ERCC6-PGBD3,ANXA8,MAPK8,MSMB,NCOA4,PARG,RBP3	64	NA	NA	NA
chr10	46192401	47935752	1743352	*	128598	0.9837944602559915	869	129kb_98.4%				SYT15,ANXA8L1,ANXA8L2,FAM21C,FAM21B,PTPN20A,AGAP4,AGAP10,FAM25B,FAM25E,GPRIN2,ANTXRL,NPY4R	RHEBP1,SYT15,ANXA8L1,ANXA8L2,FAM21C,FAM21B,PTPN20A,FRMPD2P2,AGAP4,CTGLF8P,AGAP10,CTSLP5,FAM25B,FAM25E,FAM25HP,CTSLP7,GLUD1P7,GLUD1P8,BMS1P1,BMS1P2,CTGLF10P,CTGLF11P,GPRIN2,ANTXRL,DUSP8P3,FAM35BP,FAM35DP,RNA5SP310,RNA5SP311,RNA5SP312,LINC00842,HNRNPA1P33,RHEBP2,AHCYP1,DUSP8P4,ANTXRLP1,FAM21FP,RN7SL248P,RN7SL453P,NPY4R	40	NA	NA	NA
chr2	131400070	132114128	714059	*	165388	0.951858659636733	864	165kb_95.2%			ARHGEF4	PLEKHB2,GPR148,AMER3,FAM168B,POTEE,POTEJ,CYP4F31P,ARHGEF4	PLEKHB2,GPR148,CYCSP8,CYP4F30P,AMER3,FAM168B,POTEE,POTEJ,NEK2P4,CYP4F31P,ARHGAP42P1,RNU6-127P,MED15P8,KLF2P3,KLF2P4,FAR2P3,FAR2P4,ARHGEF4,NF1P8	19	2q21.1	100.8	119.6
chr16	33075309	33594271	518963	*	143364	0.960255015206049	864	143kb_96%				TP53TG3B,TP53TG3C	TP53TG3B,HERC2P8,TP53TG3C,ENPP7P13,BMS1P8	5	NA	NA	NA
chr10	46524332	51298381	4774050	*	298314	0.9929604376596473	861	298kb_99.3%	SLC18A3,CHAT,PGBD3,ERCC6,ERCC6-PGBD3,RBP3	SLC18A3,CHAT,PGBD3,ERCC6,GDF2,ERCC6-PGBD3,RBP3	OGDHL,C10orf71,ERCC6,RBP3	SLC18A3,SYT15,CHAT,PGBD3,FAM170B,DRGX,LRRC18,ANXA8L1,ANXA8L2,FAM21B,FAM21D,PTPN20A,PTPN20B,ASAH2C,AGAP10,AGAP9,AGAP8,ZNF488,FAM25B,FAM25C,FAM25G,GPRIN2,OGDHL,VSTM4,C10orf71,C10orf128,ANTXRL,C10orf53,FRMPD2,WDFY4,ARHGAP22,ERCC6,GDF10,GDF2,ERCC6-PGBD3,ANXA8,MAPK8,PARG,NPY4R,RBP3	RHEBP1,SLC18A3,FRMPD2P1,SYT15,CHAT,PGBD3,FAM170B,DRGX,LRRC18,ANXA8L1,ANXA8L2,FAM21B,FAM21D,PTPN20A,PTPN20B,PTPN20CP,FRMPD2P2,ASAH2C,CTGLF8P,AGAP10,AGAP9,AGAP8,ZNF488,CTSLP5,FAM25B,FAM25C,FAM25D,FAM25G,FAM25HP,GLUD1P6,CTSLP7,GLUD1P7,GLUD1P8,BMS1P1,BMS1P2,BMS1P5,BMS1P6,BMS1P7,CTGLF11P,CTGLF12P,GPRIN2,CTSLP2,CTSLP3,OGDHL,VSTM4,C10orf71,C10orf128,ANTXRL,C10orf53,FRMPD2,WDFY4,ARHGAP22,DUSP8P1,DUSP8P3,FAM35BP,SLC9A3P4,FAM35DP,ERCC6,MIR4294,GDF10,GDF2,ARHGAP22-IT1,RNA5SP311,RNA5SP312,RNA5SP313,RNA5SP314,RNA5SP315,RNA5SP316,GLUD1P2,LINC00842,HNRNPA1P33,RHEBP2,AHCYP1,DUSP8P2,DUSP8P4,ANTXRLP1,FAM35EP,FAM170B-AS1,C10orf71-AS1,RN7SL248P,RN7SL453P,RN7SL527P,ERCC6-PGBD3,ANXA8,MAPK8,PARG,NPY4R,RBP3	88	NA	NA	NA
chr1	144582321	145323391	741071	*	142524	0.9602102102102102	858	143kb_96%				PDE4DIP,NOTCH2NL,NBPF9,NBPF10	SEC22B,PDE4DIP,NUDT4P1,PFN1P2,NOTCH2NL,NBPF9,NBPF10,RN7SKP88,RNU6-1071P,RNU2-38P	10	NA	NA	NA
chr16	21774505	22500242	725738	*	72802	0.9950550809043708	858	73kb_99.5%	UQCRC2	UQCRC2		UQCRC2,CDR2,EEF2K,C16orf52,VWA3A,PDZD9,POLR3E,SDR42E2,NPIPB5,NPIPB4	UQCRC2,CDR2,EEF2K,C16orf52,VWA3A,PDZD9,POLR3E,RRN3P1,SDR42E2,NPIPB5,RRN3P3,NPIPB4,SMG1P1	13	16p12.1	592.3	627.8
chr15	82917309	84954593	2037285	*	410903	0.9644684998649317	855	411kb_96.4%	AP3B2	BNC1,HOMER2,RPS17L,AP3B2	BTBD1,ADAMTSL3	BNC1,SH3GL3,BTBD1,TM6SF1,ADAMTSL3,HOMER2,FSD2,CPEB1,GOLGA6L4,C15orf40,WHAMM,FAM103A1,RPS17L,UBE2Q2L,GOLGA6L20,GOLGA6L18,GOLGA6L19,AP3B2	BNC1,SH3GL3,BTBD1,TM6SF1,ADAMTSL3,HOMER2,FSD2,CPEB1,GOLGA6L4,C15orf40,RPL9P8,WHAMM,FAM103A1,EFTUD1P1,SCARNA15,DNM1P42,UBE2Q2P3,RPS17L,MIR4515,TUBA8P2,UBE2Q2L,RN7SL256P,RN7SL331P,RN7SL410P,RN7SL417P,RNU6-401P,RNU6-1339P,CSPG4P9,CSPG4P10,CSPG4P11,DNM1P51,GOLGA6L20,ADAMTS7P2,GOLGA6L18,GOLGA6L19,GOLGA6L21P,GOLGA2P7,UBE2Q2P8,AP3B2	39	15q25_BPB-BPC	0	14.95
chr1	144626446	146403228	1776783	*	188698	0.9536561065830057	848	189kb_95.4%	POLR3GL,HFE2,PEX11B,RBM8A	POLR3GL,HFE2,PEX11B,RBM8A	ITGA10	PDE4DIP,PIAS3,TXNIP,CD160,RNF115,NBPF12,ANKRD35,NUDT17,ANKRD34A,POLR3GL,LIX1L,POLR3C,NOTCH2NL,GPR89A,GPR89C,NBPF9,NBPF10,NBPF11,HFE2,ITGA10,PDZK1,PEX11B,RBM8A	SEC22B,PDE4DIP,GNRHR2,PIAS3,TXNIP,CD160,NUDT4P1,RNF115,NBPF12,ANKRD35,NUDT17,ANKRD34A,POLR3GL,LIX1L,POLR3C,NOTCH2NL,PDZK1P1,GPR89A,GPR89C,NBPF9,NBPF10,NBPF11,HYDIN2,ABHD17AP2,RNVU1-7,RNA5SP57,PFN1P8,PFN1P5,RN7SKP88,RNU6-1071P,RNVU1-6,RNU1-137P,RNU2-38P,HFE2,ITGA10,PDZK1,PEX11B,RBM8A	38	1q21_TAR	173.9	269
chr2	130782946	131185186	402241	*	104287	0.9716934996691822	847	104kb_97.2%	CCDC115,SMPD4	CCDC115,SMPD4		TUBA3E,CCDC74B,MZT2B,CCDC115,IMP4,SMPD4,POTEF,PTPN18	TUBA3E,CCDC74B,MZT2B,CCDC115,IMP4,SMPD4,POTEF,RHOQP3,MTND6P8,CYP4F27P,MTND1P29,MTND2P22,MTND4P27,MTND5P29,MED15P9,MTATP6P7,RNU6-1049P,MED15P5,FAR2P2,KLF2P1,FAR2P1,PTPN18	22	NA	NA	NA
chr1	143547457	148668154	5120698	*	671765	0.9827990443086496	846	672kb_98.3%	POLR3GL,HFE2,PEX11B,RBM8A	POLR3GL,GJA5,GJA8,HFE2,PEX11B,RBM8A	ITGA10	BCL9,GPR89B,PDE4DIP,PIAS3,TXNIP,CD160,RNF115,CHD1L,NBPF12,PPIAL4A,NBPF14,ANKRD35,NUDT17,NBPF24,ANKRD34A,POLR3GL,LIX1L,NBPF15,ACP6,POLR3C,NOTCH2NL,GPR89A,GPR89C,NBPF8,NBPF9,NBPF10,NBPF11,NBPF20,FAM72D,PPIAL4B,PPIAL4G,PPIAL4D,FMO5,GJA5,GJA8,HFE2,ITGA10,PDZK1,PEX11B,PRKAB2,RBM8A	BCL9,RNVU1-1,RNVU1-11,RNU1-13P,SEC22B,GPR89B,PDE4DIP,GNRHR2,PIAS3,TXNIP,CD160,NUDT4P1,RNF115,CHD1L,NBPF12,PFN1P2,PPIAL4A,NBPF14,ANKRD35,NUDT17,NBPF24,ANKRD34A,ABHD17AP1,POLR3GL,LIX1L,NBPF15,ACP6,POLR3C,OR13Z1P,OR13Z2P,OR13Z3P,NOTCH2NL,PDZK1P1,PDZK1P2,GPR89A,GPR89C,NBPF8,NBPF9,NBPF10,NBPF11,NBPF13P,NBPF20,HYDIN2,ABHD17AP2,FAM72D,PPIAL4B,PPIAL4G,PPIAL4E,PPIAL4D,CCT8P1,SRGAP2B,RNVU1-9,RNVU1-7,FMO5,GJA5,GJA8,RNA5SP57,RNA5SP58,PFN1P8,PFN1P3,PFN1P5,PFN1P4,PFN1P7,LINC00623,LINC00624,RN7SKP88,PDIA3P1,RN7SL261P,RNU6-1071P,RNVU1-2,RNVU1-3,RNVU1-4,RNVU1-5,RNVU1-6,RNVU1-8,RNVU1-10,RNVU1-12,RNVU1-13,RNVU1-14,RNVU1-15,RNU1-59P,RNU1-120P,RNU1-122P,RNU1-129P,RNU1-135P,RNU1-137P,RNU2-38P,HFE2,LINC01138,ITGA10,PDZK1,PEX11B,PRKAB2,RBM8A	94	1q21_BP2-BP4	0	134.5
chr10	49045052	51358919	2313868	*	157042	0.9786999656142943	844	157kb_97.9%	SLC18A3,CHAT,PGBD3,ERCC6,ERCC6-PGBD3	SLC18A3,CHAT,PGBD3,ERCC6,ERCC6-PGBD3	OGDHL,C10orf71,ERCC6	SLC18A3,CHAT,PGBD3,FAM170B,DRGX,LRRC18,FAM21D,AGAP8,FAM25C,OGDHL,VSTM4,C10orf71,C10orf128,C10orf53,FRMPD2,WDFY4,ARHGAP22,ERCC6,ERCC6-PGBD3,MAPK8,PARG	SLC18A3,CHAT,PGBD3,FAM170B,DRGX,LRRC18,FAM21D,PTPN20CP,AGAP8,FAM25C,FAM25D,BMS1P7,CTGLF12P,OGDHL,VSTM4,C10orf71,C10orf128,C10orf53,FRMPD2,WDFY4,ARHGAP22,ERCC6,MIR4294,ARHGAP22-IT1,RNA5SP315,RNA5SP316,FAM35EP,FAM170B-AS1,C10orf71-AS1,RN7SL527P,ERCC6-PGBD3,MAPK8,PARG	33	NA	NA	NA
chr4	75282464	75452279	169816	*	40953	0.9993651258760042	840	41kb_99.9%				AREG	AREG	1	NA	NA	NA
chr2	110688765	110983704	294940	*	44351	0.9977227120019841	839	44kb_99.8%	NPHP1	NPHP1		MALL,NPHP1	LINC00116,MIR4267,MIR4436B1,MIR4436B2,GPAA1P1,ZBTB45P1,LINC01123,MALL,NPHP1	9	2q13_NPHP1	5873	2616
chr15	34671002	34817214	146213	*	58598	0.9892999761083996	838	59kb_98.9%				GOLGA8A	GOLGA8A,MIR1233-1,HNRNPLP2	3	NA	NA	NA
chr2	111249371	113153126	1903756	*	88645	0.9943369620395961	837	89kb_99.4%	ANAPC1,MERTK	BUB1,ANAPC1,MERTK	BUB1,MERTK	BUB1,ANAPC1,ZC3H6,ACOXL,TMEM87B,FBLN7,ZC3H8,RGPD6,MERTK,RGPD8,BCL2L11	BUB1,ANAPC1,ZC3H6,ACOXL,TMEM87B,FBLN7,ZC3H8,RGPD6,MIR4435-1HG,RPS14P4,RPL5P9,RN7SL297P,MERTK,RGPD8,BCL2L11	15	2q13	128.6	149.5
chr17	44434475	45118189	683715	*	93302	0.9717905296778204	833	93kb_97.2%	WNT3,GOSR2	WNT3,GOSR2		WNT9B,WNT3,ARL17A,ARL17B,LRRC37A2,RPRML,GOSR2,NSF	WNT9B,WNT3,ARL17A,NSFP1,ARL17B,LRRC37A2,RPRML,RNU6ATAC3P,RPS7P11,MIR5089,FAM215B,GOSR2,RN7SL199P,LRRC37A17P,NSF	15	NA	NA	NA
chr8	145187380	145432588	245209	*	26424	0.9996594005449592	825	26kb_100%				FAM203A,MROH1,SCXB	FAM203A,MROH1,TSSK5P1,SCXB	4	NA	NA	NA
chr1	144673795	144949143	275349	*	36857	0.9929185772037876	823	37kb_99.3%				PDE4DIP,NBPF9	PDE4DIP,NBPF9,RNU2-38P	3	NA	NA	NA
chr16	70005102	70223709	218608	*	38767	0.9869218665359714	813	39kb_98.7%			PDPR	CLEC18C,PDPR	PDXDC2P,CLEC18C,PDPR,MIR1972-2	4	NA	NA	NA
chr13	57713296	57732539	19244	*	14573	0.9984217388320867	812	15kb_99.8%				PRR20A,PRR20B,PRR20C	PRR20A,PRR20B,PRR20C	3	NA	NA	NA
chrY	20113315	26821288	6707974	*	307269	0.9597746599884791	810	307kb_96%				KDM5D,BPY2,PRY,DAZ2,CDY2A,RPS4Y2,HSFY1,PRY2,RBMY1B,RBMY1D,RBMY1E,RBMY1J,CDY1B,HSFY2,RBMY1F,BPY2B,DAZ1,EIF1AY,CYorf17,RBMY1A1	TRAPPC2P7,KDM5D,BPY2,OFD1P6Y,PRY,DAZ2,GOLGA2P2Y,TTTY4,TTTY5,TTTY6,CD24P4,CDY2A,TXLNG2P,TTTY10,TTTY13,TTTY14,RPS4Y2,HSFY1,TTTY17A,PRY2,CDY10P,CDY9P,CDY11P,CDY8P,CDY12P,CDY13P,CDY14P,CDY15P,CDY17P,CDY18P,OFD1P2Y,OFD1P4Y,OFD1P5Y,OFD1P7Y,OFD1P8Y,OFD1P9Y,OFD1P10Y,OFD1P11Y,OFD1P12Y,RBMY2EP,RBMY2FP,RBMY2TP,RBMY2UP,RBMY2WP,RBMY2XP,TSPY14P,XKRYP1,XKRYP2,XKRYP3,XKRYP4,RBMY1B,RBMY1D,RBMY1E,RBMY1J,CDY1B,CICP2,GAPDHP19,HSFY2,BCORP1,TMEM167AP1,GOLGA6L11P,PPP1R12BP2,RBMY1F,TBL1YP1,TUBB1P1,BPY2B,DAZ1,USP9YP1,USP9YP2,TAF9P2,TTTY6B,TTTY17B,TTTY4B,CSPG4P2Y,TTTY9B,EIF1AY,PRYP2,PRYP3,DNM1P24,FAM41AY2,ACTG1P11,NEFLP1,HSFY4P,ZNF736P3Y,TRAPPC2P8,TRAPPC2P10,TRAPPC2P9,FAM224A,USP9YP3,GAPDHP17,TSPY21P,RAB9AP1,RAB9AP4,RAB9AP5,CSPG4P3Y,TCEB1P5,TCEB1P7,TCEB1P8,TCEB1P9,TCEB1P10,TCEB1P12,TCEB1P13,TCEB1P14,TCEB1P15,TCEB1P16,USP9YP5,RCC2P2,ZNF886P,USP9YP8,ZNF736P11Y,UBE2Q2P4Y,TRIM60P5Y,ZNF736P12Y,CLUHP2,USP9YP10,ZNF839P1,ZNF885P,TRIM60P8Y,TRIM60P9Y,USP9YP11,TRIM60P10Y,TSPY22P,LINC00265-2P,TTTY25P,LINC00266-2P,TSPY23P,USP9YP12,USP9YP13,TCEB1P26,CYorf17,TOMM22P1,USP9YP14,RBMY1KP,USP9YP15,USP9YP16,USP9YP17,USP9YP18,USP9YP24,USP9YP25,USP9YP28,USP9YP29,USP9YP31,USP9YP35,GPM6BP2,GPM6BP1,PRYP5,PRYP6,HSFY5P,HSFY6P,HSFY7P,REREP1Y,MTCYBP2,RNA5SP522,RNA5SP523,RN7SL818P,RNU6-255P,RNU1-41P,RNU1-48P,RNU1-86P,RNU1-95P,RNU1-97P,RBMY1A1,RBMY1HP,RBMY2AP,RBMY2BP	165	NA	NA	NA
chr16	29425008	30214600	789593	*	217531	0.9930676547250736	810	218kb_99.3%	CORO1A,PRRT2,ALDOA	TBX6,CORO1A,PRRT2,ALDOA,KIF22	ALDOA,MVP	SPN,SULT1A3,TBX6,TAOK2,CDIPT,YPEL3,SLX1A,KCTD13,CORO1A,TMEM219,FAM57B,C16orf92,C16orf54,INO80E,ASPHD1,GDPD3,PAGR1,SLX1B,BOLA2,DOC2A,SULT1A4,PRRT2,SEZ6L2,ZG16,BOLA2B,ALDOA,HIRIP3,KIF22,MAPK3,MAZ,MVP,PPP4C,QPRT	SPN,SULT1A3,TBX6,CA5AP1,TAOK2,CDIPT,YPEL3,SLX1A,KCTD13,CORO1A,TMEM219,FAM57B,C16orf92,C16orf54,INO80E,ASPHD1,GDPD3,PAGR1,SLX1B,SLC7A5P1,BOLA2,DOC2A,SULT1A4,PRRT2,SEZ6L2,ZG16,SNX29P2,BOLA2B,ALDOA,SLX1A-SULT1A3,RN7SKP127,SLX1B-SULT1A4,CDIPT-AS1,HIRIP3,KIF22,MAPK3,MAZ,MVP,PPP4C,QPRT	40	16p11.2prox	259.6	1674
chrX	47863712	47986581	122870	*	15813	0.9963321317902991	809	16kb_99.6%				ZNF630,SPACA5	SSX6,ZNF630,SPACA5,ZNF630-AS1	4	NA	NA	NA
chr1	12873128	13058262	185135	*	117929	0.9442206751519983	806	118kb_94.4%				PRAMEF11,PRAMEF10,PRAMEF7,PRAMEF2,HNRNPCL1,PRAMEF6,PRAMEF4,PRAMEF22	PRAMEF11,PRAMEF10,PRAMEF7,PRAMEF2,HNRNPCL1,PRAMEF6,PRAMEF4,PRAMEF22,RNU6-1072P	9	NA	NA	NA
chr7	143414608	143504915	90308	*	10590	0.9972615675165251	806	11kb_99.7%				FAM115C,CTAGE6	FAM115C,CTAGE6,FAM115D,PAICSP6,RNU6-267P	5	NA	NA	NA
chr16	14850943	16434331	1583389	*	311549	0.9897672597247945	806	312kb_99%	NDE1,ABCC6,MYH11	NDE1,ABCC1,ABCC6,MYH11	RRN3,ABCC1	NDE1,C16orf45,NOMO3,FOPNL,MPV17L,PDXDC1,KIAA0430,NTAN1,NOMO1,RRN3,NPIPA2,NPIPA5,ABCC1,ABCC6,MYH11,NPIPA1	NDE1,C16orf45,NOMO3,FOPNL,MPV17L,PDXDC1,KIAA0430,NTAN1,NOMO1,PKD1P1,PKD1P6,RRN3,MIR484,ABCC6P2,NPIPP1,RPL15P20,RPL17P40,MIR1972-1,MIR3179-2,MIR3180-2,MIR3179-1,MIR3180-1,MIR3180-4,MIR3670-1,NPIPA2,NPIPA5,MIR3670-2,RNU6-213P,ABCC1,ABCC6,MYH11,NPIPA1	32	16p13.11	312.6	433.5
chr4	144856978	145036959	179982	*	63077	0.9711939375683688	805	63kb_97.1%				GYPA,GYPB	GYPA,GYPB	2	NA	NA	NA
chr7	143884041	143982624	98584	*	10654	0.9968087103435329	805	11kb_99.7%				OR2A42,ARHGEF35,CTAGE8,OR2A7	OR2A20P,OR2A42,ARHGEF35,CTAGE8,ARHGEF34P,OR2A1-AS1,OR2A7	7	NA	NA	NA
