GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
SLC25A1	22q11.2_LCRA-D	1.771e-4	2.503937778875697e-4	3.133263400480961e-8	83	71	1	83, 37, 37	5.1
NCAPH	2q11.2	7.309999999999999e-5	1.0803344492001146e-4	6.327615221285154e-9	81	68	1	81, 73, 4	5.2
TUFM	16p11.2dist	1.361e-4	2.0484466559670143e-4	2.343812702342443e-8	80	66	1	80, 40, 40	5.2
SNAP29	22q11.2_LCRA-D	1.771e-4	2.7724011314414547e-4	4.5497670336178565e-8	78	64	1	78, 28, 28	5.2
TBX6	16p11.2prox	2.596e-4	3.420577767031112e-4	4.3525154781568626e-5	76	76	1	76, 7, 7	5.4
CNNM4	2q11.2	7.309999999999999e-5	1.349276660831852e-4	1.2861865074655526e-8	70	54	1	70, 46, 46	5.3
RBP3	10q11.21q11.23	1.412e-4	2.6408855556127515e-4	4.980532517844069e-8	70	53	1	70, 46, 24	5.3
POLR3GL	1q21_TAR	1.739e-4	3.2732644798089236e-4	7.69013935477878e-8	69	53	1	69, 55, 38	5.3
ANAPC1	2q13	1.2859999999999998e-4	2.5140277944753567e-4	4.666539751394625e-8	68	51	1	68, 25, 25	1.9
PRRT2	16p11.2prox	2.596e-4	5.499222222222222e-4	2.3502229049382713e-7	64	47	1	64, 68, 28	5.2
ZNHIT3	17q12	6.886e-5	1.4790000000000002e-4	1.7132710400000002e-8	64	47	1	64, 87, 3	5.3
CD19	16p11.2dist	1.361e-4	2.9480666503868997e-4	6.838775975123436e-8	63	46	1	63, 74, 20	5.2
CDC45	22q11.2_LCRA-D	1.771e-4	4.6898388832908436e-4	1.8858147751226707e-7	55	38	1	55, 54, 23	2.6
SGCG	13q12.12	2.117e-4	5.985586590122276e-4	3.134555782785162e-7	52	35	1	52, 49, 26	2.9
CHAT	10q11.21q11.23	1.412e-4	4.518314399744073e-4	1.8421421014934647e-7	48	31	1	48, 51, 12	2.3
TANGO2	22q11.2_LCRA-D	1.771e-4	6.507777811915924e-4	3.921473104926521e-7	43	27	3	62, 53, 43	0.55
FDFT1	8p23.1	1.008e-5	3.80242224087266e-5	1.3442350897883066e-9	42	27	2	93, 42, 2	4.8
NSMCE3	15q11q13_BP3-BP5	2.521e-6	4.2012222222222215e-5	5.132872750493826e-10	39	6	2	92, 39, 7	2.8
TRPM1	15q13.3_BP4-BP5	9.326000000000001e-5	4.238725551897805e-4	1.796615876021135e-7	39	22	2	71, 39, 29	2.9
MIPEP	13q12.12	2.117e-4	9.327733334634299e-4	8.252492016204788e-7	37	23	1	37, 21, 16	3
TXNRD2	22q11.2_LCRA-D	1.771e-4	7.714777926989677e-4	5.638135746276712e-7	37	23	1	37, 36, 36	2.8
DYNLT2B	3q29	2.269e-5	1.0569522180173857e-4	1.065664381171871e-8	35	21	3	74, 42, 35	0.61
PI4KA	22q11.2_LCRA-D	1.771e-4	8.676435545356168e-4	7.214409277271999e-7	34	20	1	34, 27, 11	2.8
SACS	13q12.12	2.117e-4	0.0011389888888888888	1.2524787990123457e-6	31	19	1	31, 21, 21	1.7
LMAN2L	2q11.2	7.309999999999999e-5	4.3015200288050497e-4	1.7968713558210997e-7	29	17	1	29, 32, 22	1.6
PCYT1A	3q29	2.269e-5	1.3371844521377547e-4	1.736578649038947e-8	29	17	3	82, 34, 29	0.65
TFRC	3q29	2.269e-5	1.3241211170905996e-4	1.701813122725257e-8	29	17	3	82, 34, 29	4
FAN1	15q13.3_BP4-BP5	9.326000000000001e-5	6.18203001087965e-4	3.821685951131665e-7	28	15	1	28, 22, 22	2
ERCC6	10q11.21q11.23	1.412e-4	9.423242224662669e-4	8.680375002466544e-7	26	15	2	36, 26, 25	2.5
OTOA	16p12.1	5.922999999999999e-4	0.004062522675447243	1.615327119852303e-5	25	15	3	81, 33, 25	3.9
ATP2A1	16p11.2dist	1.361e-4	0.0011120083334849528	1.2180393237399818e-6	22	12	2	83, 22, 17	2.5
LZTR1	22q11.2_LCRA-D	1.771e-4	0.0015263441116507629	2.298361937170957e-6	21	12	1	21, 16, 16	1.9
B9D1	SMS	5.0410000000000005e-6	7.415666666666665e-5	5.47379953011111e-9	13	6.8	2	98, 13, 2	2.8
ABCC6	16p13.11	3.126e-4	0.005129165887724059	2.6210623943792146e-5	11	6.1	3	67, 31, 11	1.5
NCF1	7q11.23	3.935e-5	7.144841108253381e-4	5.08939122121874e-7	10	5.5	3	93, 17, 10	1.2
MERTK	2q13	1.2859999999999998e-4	0.0025579654421355007	6.526649243159467e-6	9.6	5	2	82, 10, 9	2.3
POR	7q11.23_dist	2.521e-6	7.462333333333334e-5	5.562286436777778e-9	6.5	3.4	2	98, 7, 2	1.8
MDH2	7q11.23_dist	2.521e-6	8.320511148730706e-5	6.916735136615199e-9	5.9	3	3	82, 50, 6	1.6
STRA6	15q24_BPA-BPC	2.521e-6	8.389088868233788e-5	7.031325762912408e-9	5.8	3	4	50, 49, 49	-3.5
RNF168	3q29	2.269e-5	8.122636678250248e-4	6.592574299685622e-7	5.4	2.8	11	45, 37, 26	-0.13
ATPAF2	SMS	5.0410000000000005e-6	2.1998778428963488e-4	4.836921355566293e-8	4.5	2.3	2	99, 4, 2	1.2
RP1L1	8p23.1	1.008e-5	4.7675000153603027e-4	2.271889575646049e-7	4.1	2.1	9	52, 39, 19	-1.3
MPI	15q24_BPA-BPC	2.521e-6	1.3952333333333333e-4	1.9460405103444445e-8	3.5	1.8	3	69, 69, 4	-4.1
OTUD7A	15q11q13_BP3-BP5	2.521e-6	1.600548898447243e-4	2.561121232220683e-8	3.1	1.6	4	83, 28, 28	-2.5
ALDH3A2	SMS	5.0410000000000005e-6	3.473677777777778e-4	1.206389613572716e-7	2.9	1.5	5	58, 32, 32	-3.7
MAT1A	10q23	7.562000000000001e-6	5.216466666666667e-4	2.7205806100044445e-7	2.9	1.4	4	83, 31, 23	-2.3
TNFRSF13B	SMS	5.0410000000000005e-6	3.663688914771958e-4	1.3420075296122924e-7	2.7	1.4	5	49, 46, 31	-3.8
TOP3A	SMS	5.0410000000000005e-6	4.5362888580796515e-4	2.057537543583759e-7	2.2	1.1	13	29, 27, 20	-2.2
BBS4	15q24_BPA-BPC	2.521e-6	2.736835539311419e-4	7.489633225138025e-8	1.8	0.92	16	40, 40, 32	-4.4
TRPM1	15q11q13_BP3-BP5	2.521e-6	4.238725551897805e-4	1.796615876021135e-7	1.2	0.59	15	71, 39, 29	-2.5
CDHR1	10q23	7.562000000000001e-6	0.0015096486043747286	2.2789817248465657e-6	1	0.5	18	94, 9, 6	-1.7
MYO15A	SMS	5.0410000000000005e-6	0.001035761780256063	1.0727770537582088e-6	0.97	0.49	29	28, 23, 13	-3.3
FAN1	15q11q13_BP3-BP5	2.521e-6	6.18203001087965e-4	3.821685951131665e-7	0.81	0.41	25	28, 22, 22	-3.3
HERC2	PWS/AS_BP1-BP3	2.521e-6	0.006367880231632415	4.0549892288973904e-5	0.079	0.04	22	97, 6, 2	-4.7
OCA2	PWS/AS_BP1-BP3	2.521e-6	0.00822257699003977	6.761076600169049e-5	0.061	0.031	43	52, 19, 16	-5.6
